brewery_id	brewery_name	beer_style	beer_beerid	beer_name	review_overall	Notes	review_profilename
10099	Dogfish Head Brewery	American Double / Imperial IPA	2093	90 Minute IPA	5	NULL	sousley
1401	Berliner Kindl Brauerei	Bock	4650	Berliner Kindl Bockbiere	5	Hellbock	sousley
29	Anheuser-Busch	American Adjunct Lager	65	Budweiser	1	NEVER	sousley
304	Brewery Budweiser Budvar / B.B.N.P.	Czech Pilsener	6715	Budweiser Budvar	5	NULL	sousley
493	Cosmos Brewery (Thai Beverage Plc.)	American Adjunct Lager	7609	Chang Beer (Domestic)	4.5	NULL	sousley
215	Bières de Chimay S.A.	Belgian Strong Dark Ale	2512	Chimay Grande Réserve (Blue)	5	NULL	sousley
215	Bières de Chimay S.A.	Dubbel	672	Chimay Première (Red)	4	NULL	sousley
215	Bières de Chimay S.A.	Tripel	1346	Chimay Tripel (White)	4	NULL	sousley
259	Brouwerij St. Bernardus NV	Belgian Strong Dark Ale	39286	Christmas Ale	5	NULL	sousley
96	Magic Hat Brewing Company	American Pale Wheat Ale	28536	Circus Boy	4.5	Zirkus Boy NOT in the list.	sousley
75	Grupo Modelo S.A. de C.V.	American Adjunct Lager	232	Corona Extra	5	NULL	sousley
57	"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V."	Vienna Lager	171	Dos Equis Amber Lager	4	NULL	sousley
57	"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V."	American Adjunct Lager	42791	Dos Equis Dark Lager	3.5	NULL	sousley
68	Flying Dog Brewery	American Double / Imperial IPA	35754	Double Dog Double Pale Ale	5	NULL	sousley
703	Erdinger Weissbräu	Hefeweizen	2434	Erdinger Weissbier	5	NULL	sousley
703	Erdinger Weissbräu	Kristalweizen	3653	Erdinger Weissbier Kristallklar	4.5	NULL	sousley
1551	Gordon Biersch Brewery Restaurant	Märzen / Oktoberfest	16254	Gordon Biersch Märzen	5	NULL	sousley
209	Guinness Ltd.	Irish Dry Stout	754	Guinness Draught	5	NULL	sousley
209	Guinness Ltd.	Euro Pale Lager	862	Harp Lager	3.5	NULL	sousley
68	Flying Dog Brewery	Hefeweizen	2249	In-Heat Wheat	5	NULL	sousley
22	Unibroue	Tripel	34	La Fin Du Monde	4.5	NULL	sousley
27205	Gordon Biersch	Märzen / Oktoberfest	75103	Märzen	5	dupe? 41304 and 25019?	sousley
29	Anheuser-Busch	American Pale Lager	7313	Michelob (Original Lager)	1	NEVER AGAIN	sousley
124	Paulaner Brauerei GmbH & Co. KG	Hefeweizen	1256	Paulaner Hefe-Weissbier Naturtrüb	5	NULL	sousley
290	Binding-Brauerei AG	Hefeweizen	3425	Schöfferhofer Hefeweizen	5	NULL	sousley
290	Binding-Brauerei AG	Kristalweizen	4768	Schöfferhofer Kristallweizen	4.5	NULL	sousley
259	Brouwerij St. Bernardus NV	Quadrupel (Quad)	1708	St. Bernardus Abt 12	5	ABT	sousley
259	Brouwerij St. Bernardus NV	Tripel	722	St. Bernardus Tripel	3	NULL	sousley
207	Brasserie de Rochefort	Quadrupel (Quad)	645	Trappistes Rochefort 10	5	NULL	sousley
207	Brasserie de Rochefort	Belgian Strong Dark Ale	3842	Trappistes Rochefort 6	3	NULL	sousley
207	Brasserie de Rochefort	Dubbel	1696	Trappistes Rochefort 8	4	NULL	sousley
694	Tröegs Brewing Company	Doppelbock	4109	Troegenator Double Bock	5	NULL	sousley
694	Tröegs Brewing Company	Extra Special / Strong Bitter (ESB)	3040	Tröegs ESB Ale	3	NULL	sousley
252	Bayerische Staatsbrauerei Weihenstephan	Hefeweizen	731	Weihenstephaner Hefeweissbier	5	NULL	sousley
